,archivo,prediccion,certeza,pred_2,pred_3,pred_4,pred_5
0,01_potato,spaghetti_squash,29.31%,banana,acorn,buckeye,bolete
1,02_glasses,sunglasses,48.85%,sunglass,loupe,hook,stethoscope
2,03_car,sports_car,83.92%,beach_wagon,car_wheel,convertible,racer
3,04_person,torch,48.57%,jersey,racket,ballplayer,lab_coat
4,05_house,picket_fence,13.04%,palace,patio,boathouse,library
5,06_waves,spindle,15.24%,great_white_shark,dam,speedboat,volcano
6,07_tower_bridge,suspension_bridge,68.60%,pier,steel_arch_bridge,crane,castle
7,08_rhino,water_buffalo,54.78%,ox,warthog,African_elephant,Arabian_camel
8,09_pearl_jam,suit,35.94%,theater_curtain,wig,gown,bow_tie
9,10_table,folding_chair,64.55%,desk,dining_table,nail,pedestal
10,11_edsac_computer,turnstile,50.11%,tobacco_shop,library,abacus,grocery_store
11,12_notebook,desktop_computer,39.16%,notebook,laptop,space_bar,screen
12,13_jewels,Band_Aid,77.97%,necklace,sandal,bikini,rubber_eraser
13,14_bike,mountain_bike,28.02%,bicycle-built-for-two,tricycle,tripod,parking_meter
14,15_robocop,fountain,23.15%,pedestal,cuirass,perfume,breastplate
15,16_barbell,barbell,98.96%,dumbbell,racer,tricycle,cannon
16,17_dog,golden_retriever,98.68%,Saluki,Afghan_hound,English_setter,otterhound
17,18_seat,throne,33.13%,studio_couch,rocking_chair,barber_chair,cradle
18,19_himalaya,alp,82.70%,cliff,volcano,promontory,valley
19,20_fighter_jet,warplane,98.38%,wing,hammerhead,aircraft_carrier,projectile
20,21_songbird,bulbul,27.13%,indigo_bunting,goldfinch,water_ouzel,quail
21,22_microphone,microphone,99.74%,hand_blower,spotlight,power_drill,strainer
22,23_door,entertainment_center,32.79%,wardrobe,palace,china_cabinet,library
23,24_sushi,conch,14.62%,corn,bell_pepper,American_lobster,necklace
24,25_milanesa,corn,50.50%,meat_loaf,plate,mashed_potato,face_powder
